name,url,description,number_of_members,location,notable_events,recurring_events,persons_of_interest,associated_articles,image_carousel
Le Maquis,https://cartofaf.streetpress.com/liste/le-maquis/,"Le Maquis est un groupuscule identitaire qui s’est créé à la fin de l’année 2022 en Provence. S’ils revendiquent un ancrage dans toute la Provence, ses militants sont particulièrement actifs à Avignon, Aix-en-Provence et Toulon. Sur le terrain, le Maquis déploie l’habituel panoplie d’actions des groupuscules : collages, banderoles et séances de boxe.

Dans ses rangs, on retrouve des anciens militants de Génération identitaire, dont l’un, Paul Goudard, a été condamné pour son intrusion avec 22 autres militants de GI dans les locaux de SOS Méditerranée en 2018. Plusieurs sont par ailleurs accusés de violence et d’accointances néonazies.",Entre 15 et 25,"Toulon, Avignon, Aix","En décembre 2023, le maire de Péage-de-Roussillon (38), André Mondange, aurait été agressé dans les rues d’Avignon par deux militants, dont Hugo H., militant important du Maquis. Le duo l’aurait frappé après avoir proféré des insultes à caractère raciste envers sa fille métisse. Sous contrôle judiciaire, leur procès est prévu en 2025 et ils sont présumés innocents.",,Hugo H.|Paul Goudard,"À Toulon, le militant néonazi est un gars de la Marine (https://www.streetpress.com/sujet/1719224230-toulon-militant-neonazi-marine-nationale-identitaire-saluts-nazis-quartier-maitre-extreme-droite)|À Toulon, deux mineurs tabassés par un groupe d’extrême droite attendent toujours des nouvelles de leurs plaintes (https://www.streetpress.com/sujet/1742828463-toulon-mineurs-lyceens-tabasses-agression-extreme-droite-maquis-plainte-violences-racisme)",https://cartofaf.streetpress.com/images/groups/le-maquis/logo.webp|https://cartofaf.streetpress.com/images/groups/le-maquis/news/streetpress.webp|https://cartofaf.streetpress.com/images/groups/le-maquis/news/streetpress.webp
Legio Alpina,https://cartofaf.streetpress.com/liste/legio-alpina/,"Groupuscule nationaliste-révolutionnaire de Haute-Savoie, Legio Alpina s’est lancé fin octobre 2024, à l’occasion d’une marche aux flambeaux renforcée de pyrotechnie à Chambéry, où se croisaient des membres de la mouvance de toute la région, dont leurs comparses de Valyor. Depuis, à part une randonnée à cinq dans les Alpes, le groupuscule se fait discret.",Annecy,,,,NOMBRE DE MEMBRES — Entre 5 et 10,,https://cartofaf.streetpress.com/images/groups/legio-alpina/logo.webp
Les Caryatides,https://cartofaf.streetpress.com/liste/les-caryatides/,"Les Caryatides est la branche féminine du mouvement Les Nationalistes, lancée en 2022. Si elles souhaitent « restaurer la place de la femme dans la cité », elles semblent surtout ne pas avoir d’existence propre : leurs collage, leurs activités ou les promotions qu’elles font sur les réseaux se font à chaque fois sous le label des Nationalistes.","Internet, Clermont-Ferrand, Toulouse",,,,NOMBRE DE MEMBRES — Une dizaine,,https://cartofaf.streetpress.com/images/groups/les-caryatides/logo.webp|https://cartofaf.streetpress.com/images/groups/les-caryatides/photos/photo-1.webp|https://cartofaf.streetpress.com/images/groups/les-caryatides/photos/photo-2.webp
Les Gremlins,https://cartofaf.streetpress.com/liste/les-gremlins/,"Les « Gremlins » forment la branche « jeunesse » de la Losc Army, le groupe hooligan historique du coin. Actifs depuis au moins 2021, plusieurs de leurs membres naviguent dans la mouvance d’extrême droite locale depuis plusieurs années et, avant sa fermeture, fréquentaient régulièrement la Citadelle, bar de toute l’extrême droite lilloise. Ils sont également proches de certains membres des Dogues Virage Est, principal groupe ultra lillois, avec lesquels ils s’installent parfois au stade. Quand ils ne sont pas en tribunes, les Gremlins participent aussi à des fights en forêt.",Lille,,"Le 14 septembre 2021, plusieurs de leurs membres ont participé au passage à tabac d’un supporter lillois aux abords du stade Pierre-Mauroy, resté un mois dans le coma. Plusieurs Gremlins ont été mis en examen en mars 2022 pour « violences aggravées en réunion ayant entraîné une ITT supérieure à huit jours ».",,NOMBRE DE MEMBRES — Ils tournent autour d’une quinzaine.,,https://cartofaf.streetpress.com/images/groups/les-gremlins/logo.webp|https://cartofaf.streetpress.com/images/groups/les-gremlins/photos/photo-1.webp|https://cartofaf.streetpress.com/images/groups/les-gremlins/photos/photo-2.webp|https://cartofaf.streetpress.com/images/groups/les-gremlins/photos/photo-3.webp|https://cartofaf.streetpress.com/images/groups/les-gremlins/news/mediapart.webp|https://cartofaf.streetpress.com/images/groups/les-gremlins/news/mediapart.webp|https://cartofaf.streetpress.com/images/groups/les-gremlins/news/streetpress.webp
Les Lansquenets,https://cartofaf.streetpress.com/liste/les-lansquenets/,"Les Lansquenets est un groupuscule nationaliste-révolutionnaire fondé à Strasbourg fin 2022. Orphelins de la section locale du Bastion social, mouvement dissous en 2019 pour « provocation à la discrimination, à la haine ou à la violence », et de son local l’Arcadia, les militants néofascistes strasbourgeois en sont à leur seconde tentative de restructuration après la très courte existence du mouvement Vent d’est en 2019-2020.

Comme le Bastion social, les Lansquenets organisent des conférences dans des restaurants du centre-ville de Strasbourg, ainsi que des cours de boxe pour ses militants, en lien avec d’autres radicaux du coin, comme les hooligans néonazis du Strasbourg Offender.

Le nom du groupuscule est une référence au chant du même nom, populaire dans les milieux nationalistes depuis les années 1970 : en 2023, lors de la manifestation néofasciste annuelle du C9M, c’est ce chant qui est entonné lors de l’hommage à Sébastien Deyzieu chaque année par des militants du Gud.",Strasbourg,,,,NOMBRE DE MEMBRES — Entre 10 et 20,,https://cartofaf.streetpress.com/images/groups/les-lansquenets/logo.webp|https://cartofaf.streetpress.com/images/groups/les-lansquenets/photos/photo-1.webp|https://cartofaf.streetpress.com/images/groups/les-lansquenets/photos/photo-2.webp|https://cartofaf.streetpress.com/images/groups/les-lansquenets/news/mediapart.webp
Les Natifs,https://cartofaf.streetpress.com/liste/les-natifs/,"Comme presque partout en France, les identitaires ont eu du mal à se remettre de la dissolution de Génération identitaire en 2021. À Paris, les Natifs sont surtout connus pour une banderole raciste contre Aya Nakamura en mars 2024. Dans la plus pure lignée de l’agit-prop si chère à GI, ils viennent en mai 2023 manifester devant une école désaffectée du XVIème arrondissement de Paris occupée par des mineurs isolés. Mais difficile pour les Natifs de s’imposer à Paris, à moins d’organiser des rassemblements pour alimenter des polémiques créées par l’extrême droite autour de faits divers, comme le meurtre de Thomas Perotto à Crépol en 2023, ou celui de Philippine en 2024.",Ils sont une vingtaine,Paris,Ils ont manifesté contre l’occupation de l’école rue d’Erlanger en mai 2023.,,"Edouard Michaud — Ancien membre du groupe néonazi des Zouaves et fils d’un riche homme d’affaires, décédé, très engagé à l’extrême droite","À Paris, l’extrême droite s’attaque à une école occupée par de jeunes exilés (https://www.mediapart.fr/journal/france/200523/paris-l-extreme-droite-s-attaque-une-ecole-occupee-par-de-jeunes-exiles)|« Ici c’est Paris, pas le marché de Bamako » : les identitaires derrière la banderole anti-Aya Nakamura jugés à Paris (https://www.streetpress.com/sujet/1748435873-natifs-generation-identitaire-proces-extreme-droite-aya-nakamura-ceremonie-ouverture-jeux-olympiques-paris)|Après leur banderole raciste contre Aya Nakamura, les identitaires se murent dans le silence (https://www.streetpress.com/sujet/1749115751-natifs-banderole-raciste-jo-aya-nakamura-identitaires-proces-discrimination-paris-tribunal)",https://cartofaf.streetpress.com/images/groups/les-natifs/logo.webp|https://cartofaf.streetpress.com/images/groups/les-natifs/photos/photo-1.webp|https://cartofaf.streetpress.com/images/groups/les-natifs/photos/photo-2.webp|https://cartofaf.streetpress.com/images/groups/les-natifs/news/mediapart.webp|https://cartofaf.streetpress.com/images/groups/les-natifs/news/streetpress.webp|https://cartofaf.streetpress.com/images/groups/les-natifs/news/streetpress.webp
Les Nationalistes,https://cartofaf.streetpress.com/liste/les-nationalistes/,"Les Nationalistes est un mouvement pétainiste et néofasciste, actif sous ce nom en 2019. Il a pris la suite du Parti nationaliste français (PNF), une scission radicale du Front national en 1983. Pratiquement inactif depuis le milieu des années 1990, le PNF s’est reformé en 2015 avec la convergence de plusieurs mouvements radicaux, pour beaucoup pétainistes. Yvan Benedetti, ancien président du mouvement pétainiste l’Oeuvre française (OF) – dissous en 2013 suite au meurtre de Clément Méric –, en assure le porte-parolat.

C’est sa condamnation pour reconstitution de ligue dissoute en 2019, accusé de poursuivre les activités de l’OF sous la bannière du PNF, qui pousse le mouvement à changer de nom pour Les Nationalistes. Avec le ralliement de plusieurs structures radicales au fil des ans, le mouvement compte plusieurs implantations locales et un réseau de plusieurs dizaines de militants. Les Nationalistes compte notamment une branche féminine, baptisée les Caryatides et ils possèdent un média depuis longtemps, réduit désormais à l’état de site internet : Jeune nation. Ils sont également très impliqués dans le Comité de liaison et d’aide nationaliste (Clan).","Moins de 1.000, sachant que parmi eux beaucoup sont plus des cotisants que des militants actifs.","Paris, Châteauroux, Le Puy-en-Velay, Toulon, Clermont-Ferrand, Dijon, Perpignan, Toulouse","Lors des élections européennes de 2024, Les Nationalistes ont présenté la liste « Forteresse Europe », avec pour tête de liste l’avocat Pierre-Marie Bonneau. Ils ont récolté 0,02% des suffrages, soit un peu plus de 5.000 voix.",,Yvan Benedetti — Chef du mouvement|Pierre-Marie Bonneau,Au procès des nationalistes Benedetti et Gabriac : « La dissolution nous a tués » (https://www.rue89lyon.fr/2018/06/05/proces-ultranationalistes-benedetti-gabriac-dissolution-a-tues/)|«Mort aux Juifs»: infiltration dans un camp d’été fasciste (https://www.slate.fr/story/193080/antisemtisme-infiltration-camp-d-ete-fasciste-morts-aux-juifs),https://cartofaf.streetpress.com/images/groups/les-nationalistes/logo.webp|https://cartofaf.streetpress.com/images/groups/les-nationalistes/photos/photo-1.webp|https://cartofaf.streetpress.com/images/groups/les-nationalistes/photos/photo-2.webp|https://cartofaf.streetpress.com/images/groups/les-nationalistes/photos/photo-3.webp|https://cartofaf.streetpress.com/images/groups/les-nationalistes/photos/photo-4.webp|https://cartofaf.streetpress.com/images/groups/les-nationalistes/photos/photo-5.webp|https://cartofaf.streetpress.com/images/groups/les-nationalistes/photos/photo-6.webp|https://cartofaf.streetpress.com/images/groups/les-nationalistes/news/rue89%20lyon.webp|https://cartofaf.streetpress.com/images/groups/les-nationalistes/news/slate.webp
Les Normaux,https://cartofaf.streetpress.com/liste/les-normaux/,"Les Normaux est un groupuscule identitaire rouennais, créé au printemps 2021. Ses militants-fondateurs étaient pour la plupart issus des rangs de la section normande de Génération identitaire, organisation dissoute en mars 2021 par le gouvernement notamment pour des discours haineux incitant à la discrimination ou à la violence envers les individus en raison de leur origine, de leur ethnie ou de leur religion.

Coïncidence, Le Mora, bar-local utilisé par la mouvance identitaire rouennaise et où les Normaux se rendent très régulièrement pour des conférences ou des soirées, est situé dans le même bâtiment que le local de la section normande de feu-GI, l’Yggdrasil. Parmi les membres du groupuscule, on retrouve par exemple Edouard Gouraud, ancien militant normand de GI et l’un des porte-paroles d’Argos, l’organisation nationale qui a pris la suite du mouvement dissous. Par ailleurs, plusieurs militants des Normaux sont actifs du côté d’Academia Christiana et des milieux catholiques traditionalistes.",Une quinzaine,Rouen,"Le 16 juin 2021, les Normaux sont venus perturber une conférence de l’élue Alice Coffin, en tenant des propos misogynes à son encontre.",,Edouard Gouraud|Julien Legras,Bar le Mora : quand l’ombre de Génération identitaire refait surface à Rouen (https://www.lepoulpe.info/bar-le-mora-quand-l-ombre-de-generation-identitaire-refait-surface-a-rouen),https://cartofaf.streetpress.com/images/groups/les-normaux/logo.webp|https://cartofaf.streetpress.com/images/groups/les-normaux/photos/photo-1.webp|https://cartofaf.streetpress.com/images/groups/les-normaux/photos/photo-2.webp|https://cartofaf.streetpress.com/images/groups/les-normaux/news/lepoulpe.webp
Les Remparts,https://cartofaf.streetpress.com/liste/les-remparts/,"Un groupe né en 2021, après la dissolution du mouvement Generation identitaire pour « provocation à la discrimination, à la haine ou à la violence ». Les Remparts ne sont ni plus ni moins que leur section lyonnaise, comme les Natifs à Paris ou les Normaux à Rouen. À Lyon, les Remparts bénéficient d’un ancrage local conséquent et disposent de deux locaux d’une grandeur totale de 180m2 : le bar La Traboule et la salle de boxe voisine L’Agogé. Sous l’étiquette des Remparts, des dizaines de soirées et de conférences y ont eu lieu, sur des thèmes aussi divers que l’activisme, la diabolisation en politique ou le « wokisme », dispensé par des militants ou des personnalités comme le sénateur Reconquête Stéphane Ravier ou l’intellectuel Jean-Yves Le Gallou. Les militants y sont les mêmes que lorsqu’ils étaient encore Génération identitaire et sont pour certains extrêmement violents. Plusieurs agressions au couteau commises par des membres des Remparts ont eu lieu dans les rues lyonnaises au cours des dernières années.

Selon nos informations, des membres des Remparts ont participé à des actions du Guignol Squad, sorte « d’interfafs » locale créée durant le mouvement des Gilets jaunes. Le groupe est impliqué dans de nombreuses actions violentes ces dernières années : agression de Gilets jaunes antiracistes à Lyon, attaque de militants antifascistes à Clermont-Ferrand et à Lyon… Le 2 mai, le ministère de l’Intérieur a engagé une procédure de dissolution à leur encontre, s’appuyant sur « des appels à la haine contre la communauté LGBT, musulmane ou étrangère ».","Ils tournent entre 30 et 50 membres actifs, même s’ils revendiquent 900 adhérents sur leur page Facebook.",Lyon,"En juin 2022, un des leaders du groupe Adrien Ragot taillade deux personnes à coups de couteau.",,Adrien Ragot (dit Lasalle)|Sinisha Milinov|Roxane Chaudesaigues|Pierre-Louis Perrier,"Le militant identitaire qui a tailladé deux jeunes au couteau ressort libre (https://www.streetpress.com/sujet/1655742811-adrien-lasalle-militant-generation-identitaire-taillade-deux-jeunes-couteau-ressort-libre-lyon)|Huit identitaires interpellés à Lyon après des collages (https://www.streetpress.com/sujet/1701276408-huit-identitaires-interpelles-lyon-collages-rassemblement-thomas-extreme-droite)|Les Remparts Lyon, un groupe d’extrême droite violent dans le viseur de la justice (https://www.streetpress.com/sujet/1702036421-remparts-lyon-groupe-extreme-droite-violent-viseur-justice)|Agression de l’extrême droite à Lyon : « J’ai eu de la chance, il n’y a que quatre coups de couteau qui m’ont touché » (https://www.streetpress.com/sujet/1707832769-agression-couteau-lyon-deux-victimes-identitaires-temoignage-coups-coeur-visage-raciste)|« Notre combat est culturel »: BFMTV infiltré dans les groupes d’ultradroite (https://www.bfmtv.com/societe/notre-combat-est-culturel-bfmtv-infiltre-dans-les-groupes-d-ultradroite_GN-202405130859.html)",https://cartofaf.streetpress.com/images/groups/les-remparts/logo.webp|https://cartofaf.streetpress.com/images/groups/les-remparts/photos/photo-1.webp|https://cartofaf.streetpress.com/images/groups/les-remparts/photos/photo-2.webp|https://cartofaf.streetpress.com/images/groups/les-remparts/news/streetpress.webp|https://cartofaf.streetpress.com/images/groups/les-remparts/news/streetpress.webp|https://cartofaf.streetpress.com/images/groups/les-remparts/news/streetpress.webp|https://cartofaf.streetpress.com/images/groups/les-remparts/news/streetpress.webp|https://cartofaf.streetpress.com/images/groups/les-remparts/news/bfmtv.webp
Les Téméraires – Les Braves,https://cartofaf.streetpress.com/liste/les-temeraires-les-braves/,"Les Téméraires font partie des Braves. Un mouvement suprémaciste fondé en 2016 par Daniel Conversano, d’abord sous le nom « Suavelos » – « Bonjour » en gaulois. L’objectif est la promotion d’un mode de vie alternatif, basé sur une logique communautariste pour faire face « au grand remplacement » et au « cosmopolitisme ». Les Braves ne sont pas un groupe militant, mais une communauté qui rassemble les individus selon deux critères : être blanc/blanche et adhérer aux théories racialistes développées de Daniel Conversano.

Aujourd’hui, les Braves peuvent compter sur un réseau de militants impliqués quotidiennement dans des communautés dispersées sur le terrain, en Bourgogne Franche-Comté, Provence, Pays de la Loire ou en Île-de-France mais également en Europe. Le mouvement a été longuement décrits par les journalistes Delphine-Marion Boulle et Valentin Pacaud dans l’ouvrage « Au nom de la race-Bienvenue chez les suprémacistes français ».","Le mouvement général Les Braves dispose de quelques 3.000 sympathisants et près de 1.000 membres, répartis en communautés régionales. Les Téméraires, eux, disposent de 1.200 abonnés et sympathisants sur leur canal Telegram.",Dijon,,,"Daniel Conversano — Un influenceur raciste qui le revendique. S’il est le chef de multiples communautés à travers toute la France, lui-même s’est expatrié en Roumanie car l’Hexagone serait « bougnoulisée » et souhaite que les militants nationalistes le suivent en Europe de l’Est.","Daniel Conversano, l’influenceur très très raciste qui adore Zemmour (https://www.streetpress.com/sujet/1636994123-daniel-conversano-influenceur-raciste-adore-zemmour-neonazi-extreme-droite-supremaciste-blanc-Dieudonne-Soral)|Communautarisme : quand l’extrême droite s’organise pour vivre entre blancs (https://www.streetpress.com/sujet/1656954223-communautarisme-extreme-droite-organise-vivre-entre-blancs-separatistes-secession)",https://cartofaf.streetpress.com/images/groups/les-temeraires-les-braves/logo.webp|https://cartofaf.streetpress.com/images/groups/les-temeraires-les-braves/news/streetpress.webp|https://cartofaf.streetpress.com/images/groups/les-temeraires-les-braves/news/streetpress.webp
Les Vouivres,https://cartofaf.streetpress.com/liste/les-vouivres/,"Les Vouivres est un groupuscule fondé début 2022 dans le Val-de-Marne. D’inspiration nationaliste-révolutionnaire, les Vouivres ont cependant une ligne assez floue, mélangeant des idées royalistes et néonazies avec une esthétique chevaleresque. Leur nom vient d’ailleurs d’une créature légendaire, semblable à un dragon, qui leur sert de logo.

Si leurs effectifs ne sont pas très étoffés, les Vouivres comptent pourtant trois sections aujourd’hui, fruit des déménagements de plusieurs membres du groupe initial. La première, celle des « Vouivres de la Banlieue Est », est située dans le Val-de-Marne, là où le groupe a été fondé, et est proche de plusieurs groupuscules de région parisienne, notamment des néofascistes de Luminis. La seconde est basée en Alsace, avec notamment des militants à Strasbourg, et la dernière à Douai, dans le Nord.

Le groupuscule se limite, mis à part une maraude, à coller des stickers, faire des entraînements de boxe et participer aux collages d’autres organisations, comme les royalistes de l’Action française Mulhouse ou les néofascistes d’Animus fortis. Les Vouivres, qui font de la randonnée assez régulièrement, a notamment des liens avec d’autres militants parisiens par le biais des Baroudeurs, sorte d’émanation de plusieurs groupes néofascistes option randonnée basée en Île-de-France.","Strasbourg, Créteil, Douai",,,,NOMBRE DE MEMBRES — Une dizaine,,https://cartofaf.streetpress.com/images/groups/les-vouivres/logo.webp|https://cartofaf.streetpress.com/images/groups/les-vouivres/photos/photo-1.webp
Ligue du Midi,https://cartofaf.streetpress.com/liste/ligue-du-midi/,"Fondée en 2011 par le patriarche du clan Roudier, Richard, la ligue du Midi est une scission des identitaires. Implantée dans les Cévennes, dans un château entre le Gard et l’Hérault, la ligue a un fonctionnement « clanique », avec le père Richard Roudier, et ses deux fils Olivier et Martial aux commandes. Elle s’est présentée une fois aux élections cantonales, en 2011, recueillant 1,98% des suffrages, mais est surtout connue pour sa violence, ses agressions et ses tentatives d’intimidation, notamment sur des militants de gauche. Elle revendique environ 500 membres, un nombre difficile à vérifier et qui se situerait plus proche des 200. En 2018, la députée LFI Muriel Ressiguier avait demandé la dissolution du groupe, sans succès. Cette dernière estime qu’elle a des « soutiens dans la bourgeoisie locale ».

Martial Roudier a été condamné à deux ans de prison ferme en juin 2013 pour avoir poignardé dans le dos un militant antifasciste âgé de 16 ans en 2008. Coïncidence ou en souvenir de ses turpitudes, Martial a également été derrière la caisse de soutien lancée en juin 2013 à Esteban Morillo, qui venait alors d’assassiner le militant antifasciste de 18 ans Clément Méric le 5 juin 2013. Son frère Olivier accumule lui plus d’une dizaine de condamnations pour des faits de violences contre des personnes désignées comme « de gauche » ou racisées. Il a pour habitude de « terroriser » les habitants de son village des Cévennes avec un fusil, et a été condamné à un mois de prison ferme pour le saccage des locaux du Réseau accueil insertion Hérault (RAIH), qui vient en aide aux personnes exilées.","Ils en revendiquent 500, mais leurs manifestations ont oscillé entre 70 et 200 personnes.",Nîmes,"Ils ont saccagé les locaux du RAIH le 30 juin 2017. Pour cette action, Olivier Roudier a été condamné alors que son père a été relaxé.",,Richard Roudier|Martial Roudier|Olivier Roudier,"Ligue du Midi : un clan met l’Occitanie à cran (https://www.liberation.fr/les-idees/2018/01/29/ligue-du-midi-un-clan-met-l-occitanie-a-cran_1626004/?redirected=1)|Ligue du Midi : séries d’agressions impunies dans les Cévennes (https://lepoing.net/ligue-du-midi-series-dagressions-impunies-dans-les-cevennes/)|À Montpellier, la Ligue du Midi contre les journalistes (https://www.arretsurimages.net/articles/a-montpellier-la-ligue-du-midi-contre-les-journalistes)|Ligue du midi : des nervis en roue libre (https://www.blast-info.fr/articles/2023/ligue-du-midi-des-nervis-en-roue-libre-tSTKQ-_cRuSkt75TeJm6TA)",https://cartofaf.streetpress.com/images/groups/ligue-du-midi/logo.webp|https://cartofaf.streetpress.com/images/groups/ligue-du-midi/news/liberation.webp|https://cartofaf.streetpress.com/images/groups/ligue-du-midi/news/lepoing.webp|https://cartofaf.streetpress.com/images/groups/ligue-du-midi/news/arretsurimage.webp|https://cartofaf.streetpress.com/images/groups/ligue-du-midi/news/blast.webp
Ligue Ligérienne,https://cartofaf.streetpress.com/liste/ligue-ligerienne/,"La Ligue ligérienne est un groupuscule nationaliste-révolutionnaire nantais créé fin 2020, près d’un an après la dissolution du mouvement Bastion social pour « provocation à la discrimination, à la haine ou à la violence ». Le groupuscule reprend le même motus operandi que le Bastion social : maraudes pour « les Français de souche » – comprendre blancs –, entraînements de boxe et organisation de conférences. La Ligue ligérienne, qui a le statut d’association, dispose d’un local dans lequel se déroulent la majorité de leurs activités.

Une « partie des membres » est connue pour appartenir « à une mouvance identitaire incitant au rejet voire à la haine d’une partie de la population », selon la préfecture de la Loire-Atlantique. En 2025, StreetPress a révélé que le secrétaire général du groupe était Stanislas Laugier, mari d’une ex-candidate RN et surtout fils de Louis Laugier, directeur général de la police nationale depuis octobre 2024, nommé par Bruno Retailleau.

Un fiston encombrant alors que son groupe fait fi des arrêtés de la préfecture locale qui interdisent leurs réunions, comme le 12 mars 2025 avec une conférence de Jean-Eudes Gannat du Mouvement chouan. La Ligue ligérienne se prévaut d’ailleurs d’être l’antenne nantaise officielle de ce faux-nez de l’Alvarium à Angers, dissous en 2021 par le gouvernement.",20 à 30 membres,Nantes,"Le 24 mars 2025, la Ligue ligérienne était présente au gala de boxe de l’Oriflamme de Rennes, un groupe néofasciste violent, aux côtés des mouvements similaires Luminis Paris ou la Bastide bordelaise.",,Stanislas Laugier — Secrétaire général du groupe et fils de l’actuel directeur de la police nationale,"L’embarrassant fils du directeur de la police, cadre d’un groupe néofasciste (https://www.streetpress.com/sujet/1745416741-embarrassant-fils-directeur-police-cadre-groupe-neofasciste-stanislas-louis-laugier-retailleau-extreme-droite)",https://cartofaf.streetpress.com/images/groups/ligue-ligerienne/logo.webp|https://cartofaf.streetpress.com/images/groups/ligue-ligerienne/photos/photo-1.webp|https://cartofaf.streetpress.com/images/groups/ligue-ligerienne/photos/photo-2.webp|https://cartofaf.streetpress.com/images/groups/ligue-ligerienne/news/streetpress.webp
Lille royaliste – Action légitimiste,https://cartofaf.streetpress.com/liste/lille-royaliste-action-legitimiste/,"Lille royaliste fait partie du Cercle d’action légitimiste (CAL), une association royaliste légitimiste. C’est-à-dire qu’elle milite pour le rétablissement de la royauté en France et fait la promotion de la royauté traditionnelle en oeuvrant à l’accession au trône de l’aîné des Capétiens et chef de la maison de Bourbon. Depuis la fin des années 1980, c’est Louis de Bourbon, désigné sous le nom de Louis XX, qui prétend aux trônes de France et de Navarre pour les légitimistes.

Le CAL, contre-révolutionnaire, s’oppose de fait aux orléanistes de l’Action française, autre mouvement royaliste français qui défend l’accession au Jean IV d’Orléans, comte de Paris, dans le cadre d’une monarchie constitutionnelle. Le Cercle d’action légitimiste revendique des antennes dans plusieurs départements avec des groupes comme Strasbourg royaliste, Vannes royaliste, Lille royaliste, Bordeaux royaliste ou Nancy royaliste. Ils ne font cependant pas vraiment d’actions notables, ils organisent quelques collages ou conférences et participent à des processions religieuses ou manifestations royalistes ou catholiques, comme la marche pour la vie. Leur militantisme n'est pas très développé en dehors des réseaux sociaux.",Lille,,,,"NOMBRE DE MEMBRES — Le mouvement général, l’Action légitimiste, possède au total environ une centaine de membres.",,https://cartofaf.streetpress.com/images/groups/lille-royaliste-action-legitimiste/logo.webp
Losc Army,https://cartofaf.streetpress.com/liste/losc-army/,"La LOSC Army est implantée depuis une dizaine d’années à Lille. Hors du stade, ces hooligans néonazis participent à des fights, en ville ou en forêt. Les Dogues Virage Est (DVE), le principal groupe ultra du Losc, assume une « connexion énorme » avec la Losc Army.

S’il n’habite plus dans le Nord, Tomasz Szkatulski, figure locale et française de la mouvance néonazie, fondateur la marque suprémaciste Pride France, en a été un membre influent, tout comme Aurélien Verhassel, l’ex-patron du bar la Citadelle. Un documentaire d’Al-Jazeera a d’ailleurs montré en 2018 la proximité avec les identitaires à l’époque. Le groupe a également des liens avec certains skinheads néonazis locaux, comme Yohan Mutte, présent en parcage à Lens en septembre 2021 avec eux. L’hypothèse d’une dissolution de ce groupe a selon nos informations été évoquée en décembre 2023 par la ministre des Sports de l’époque Amélie Oudéa-Castéra.",Ils sont plusieurs dizaines.,Lille,"Le 14 septembre 2021, plusieurs de leurs membres ont participé au passage à tabac d’un supporter lillois aux abords du stade Pierre-Mauroy, resté un mois dans le coma. Plusieurs Gremlins ont été mis en examen en mars 2022 pour « violences aggravées en réunion ayant entraîné une ITT supérieure à huit jours ».",,Tomasz Szkatulski,"Ces hooligans néonazis qui squattent les tribunes des stades de foot (https://www.streetpress.com/sujet/1578306554-hooligans-neonazis-squattent-tribunes-stades-foot-extreme-droite-antisemites)|À Lille, supporters ultras et extrême droite font mauvais ménage (https://www.mediapart.fr/journal/france/151021/lille-supporters-ultras-et-extreme-droite-font-mauvais-menage)|Agression d’un supporter lillois : l’enquête souligne la porosité entre l’extrême droite et les milieux du stade (https://www.mediapart.fr/journal/france/050422/agression-d-un-supporter-lillois-l-enquete-souligne-la-porosite-entre-l-extreme-droite-et-les-milieux-du-s)|La carte des hooligans en France (https://www.streetpress.com/sujet/1664374761-carte-hooligans-france-extreme-droite-lequipe-police-clubs-lfp-football-fights-neonazis)",https://cartofaf.streetpress.com/images/groups/losc-army/logo.webp|https://cartofaf.streetpress.com/images/groups/losc-army/photos/photo-1.webp|https://cartofaf.streetpress.com/images/groups/losc-army/photos/photo-2.webp|https://cartofaf.streetpress.com/images/groups/losc-army/photos/photo-3.webp|https://cartofaf.streetpress.com/images/groups/losc-army/photos/photo-4.webp|https://cartofaf.streetpress.com/images/groups/losc-army/photos/photo-5.webp|https://cartofaf.streetpress.com/images/groups/losc-army/photos/photo-6.webp|https://cartofaf.streetpress.com/images/groups/losc-army/news/streetpress.webp|https://cartofaf.streetpress.com/images/groups/losc-army/news/mediapart.webp|https://cartofaf.streetpress.com/images/groups/losc-army/news/mediapart.webp|https://cartofaf.streetpress.com/images/groups/losc-army/news/streetpress.webp
Luminis,https://cartofaf.streetpress.com/liste/luminis/,"Créés au printemps 2020, en plein confinement, les néofascistes parisiens de Luminis aiment les conférences dans un parloir chrétien, les maraudes réservées aux blancs et le suprémacisme blanc, qu’ils affichent même dans des reportages télévisés. Ils font souvent de la boxe et du MMA avec leurs copains du Gud ou d’Auctorum, et parfois avec ceux d’autres groupuscules nationalistes-révolutionnaires plus lointains, comme Lyon populaire, des Tours et des lys, ou encore l’Alvarium.

Chez Luminis, on peut aussi bien croiser d’anciens cadres de la Cocarde qu’une attachée parlementaire Rassemblement national.",Ils sont plus d’une vingtaine.,Paris,"Chaque année, ils organisent des maraudes réservées seulement aux blancs.",,Tim Frey — Ancien responsable de la Cocarde Île-de-France|Maylis de Cibon — Attachée parlementaire de deux députés RN,Le Rassemblement national et les radicaux poursuivent leur collaboration (https://www.streetpress.com/sujet/1701278537-rassemblement-national-rn-radicaux-identitaires-monarchistes-neonazis-le-pen-bardella)|« Notre combat est culturel »: BFMTV infiltré dans les groupes d’ultradroite (https://www.bfmtv.com/societe/notre-combat-est-culturel-bfmtv-infiltre-dans-les-groupes-d-ultradroite_GN-202405130859.html),https://cartofaf.streetpress.com/images/groups/luminis/logo.webp|https://cartofaf.streetpress.com/images/groups/luminis/news/streetpress.webp|https://cartofaf.streetpress.com/images/groups/luminis/news/bfmtv.webp
