name,location,size,family_names,family_descriptions
Forez front,MONTBRISON,<10,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Fraternité Comtoise,BESANÇON,<10,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Fraternité Saint-Pie X,NATIONAL,≈15.000,Catholique,"Les catholiques-intégristes sont en guerre contre la séparation des cultes et de l’État et véhiculent un discours ultra-conservateur. Ils sont par exemple contre l’avortement et le mariage homosexuel mais aussi les étrangers. S’ils sont souvent liés aux monarchistes, les deux principaux groupes de la mouvance en France sont Civitas, dissous par le gouvernement en 2023, et la Fraternité Saint-Pie X, qui font des processions religieuses et des prières dans les rues. Dans certains de ces mouvements, la figure du Maréchal Pétain et du régime de Vichy est encore défendue."
Furie française,TOULOUSE,≈20,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Gardiens de mémoire,"PARIS, INTERNET",≈10,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Gargouilles Strasbourg,STRASBOURG,≈10,Confusionniste|Nationaliste,"Lʼextrême droite, pour ratisser au plus large, sʼempare parfois de thématiques voire de doctrines issus d’autres champs politiques. La devise initiale d’Egalité & Réconciliation, le groupuscule d’Alain Soral, illustre parfaitement ce bricolage idéologique : « La gauche du travail & la droite des valeurs. » Nous avons choisi de réunir ces organisations aux idéologies composites au sein d’une même catégorie, bien quʼil n’y ait pas d’unité doctrinale forte entre elles.|Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Geuzebond,DUNKERQUE,<10,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Gremium,NATIONAL,<100,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Groupe Union Défense,PARIS,20-30,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Hélix Dijon,DIJON,≈15,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Héra Massilia,MARSEILLE,≈10,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Hussards Paris,PARIS,≈20,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Infréquentables Dijon,DIJON,≈20,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Institut Iliade,PARIS,300-500,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Jeunes d’Oc,MONTPELLIER,10-20,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Jeunesse Boulogne,PARIS,20-30,Nationaliste|Hooligan,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…).|Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Jeunesse paloise,PAU,<10,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Justice pour les nôtres,INTERNET,≈10,Identitaire|Nationaliste,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières.|Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Kaem Crew,CAEN,≈15,Nationaliste|Hooligan,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…).|Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Korrigans squad,RENNES,10-20,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Korser,NANTES,10-20,Nationaliste|Monarchiste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…).|Chez les nostalgiques du royaume de France, on trouve deux écoles principales : les orléanistes et les légitimistes. Chacune défend son poulain, qu’elle rêve de placer sur le trône. Les deux courants prônent une vision réactionnaire de la société et un catholicisme très conservateur. L’Action française – qui est le plus ancien mouvement d’extrême droite en activité dans l’Hexagone et le groupe le plus important à la droite du Rassemblement national – souhaite par exemple un retour du roi pour une « régénération organique de la Nation » et voit donc certaines parties de la population française comme « un corps étranger ». L’AF est aussi l’une des principales écoles de formation de cadres radicaux."
L’Alvarium,ANGERS,≈30,Nationaliste|Catholique,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…).|Les catholiques-intégristes sont en guerre contre la séparation des cultes et de l’État et véhiculent un discours ultra-conservateur. Ils sont par exemple contre l’avortement et le mariage homosexuel mais aussi les étrangers. S’ils sont souvent liés aux monarchistes, les deux principaux groupes de la mouvance en France sont Civitas, dissous par le gouvernement en 2023, et la Fraternité Saint-Pie X, qui font des processions religieuses et des prières dans les rues. Dans certains de ces mouvements, la figure du Maréchal Pétain et du régime de Vichy est encore défendue."
La Bastide bordelaise,BORDEAUX,20-40,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
La Cagoule,TARBES,5-10,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
La Chourmo – Les Braves,"PARIS, AIX, MARSEILLE",≈1.000,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
La Citadelle,LILLE,≈60,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
La digue,LORIENT,≈10,Monarchiste|Nationaliste,"Chez les nostalgiques du royaume de France, on trouve deux écoles principales : les orléanistes et les légitimistes. Chacune défend son poulain, qu’elle rêve de placer sur le trône. Les deux courants prônent une vision réactionnaire de la société et un catholicisme très conservateur. L’Action française – qui est le plus ancien mouvement d’extrême droite en activité dans l’Hexagone et le groupe le plus important à la droite du Rassemblement national – souhaite par exemple un retour du roi pour une « régénération organique de la Nation » et voit donc certaines parties de la population française comme « un corps étranger ». L’AF est aussi l’une des principales écoles de formation de cadres radicaux.|Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
La division Martel,"ROUEN, PARIS",≈20,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Le Maquis,"TOULON, AVIGNON, AIX",15-25,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Legio Alpina,ANNECY,5-10,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Les Caryatides,"INTERNET, CLERMONT-FERRAND, TOULOUSE",<10,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Les Gremlins,LILLE,≈15,Nationaliste|Hooligan,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…).|Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Les Lansquenets,STRASBOURG,10-20,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Les Natifs,PARIS,20-30,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Les Nationalistes,NATIONAL,<1000,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Les Normaux,ROUEN,≈15,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Les Remparts,LYON,30-50,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Les Téméraires – Les Braves,DIJON,≈1.000,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Les Vouivres,"STRASBOURG, CRÉTEIL, DOUAI",≈10,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Ligue du Midi,NÎMES,≈500,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Ligue Ligérienne,NANTES,20-30,Nationaliste|Identitaire,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…).|Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Lille royaliste – Action légitimiste,LILLE,<100,Monarchiste,"Chez les nostalgiques du royaume de France, on trouve deux écoles principales : les orléanistes et les légitimistes. Chacune défend son poulain, qu’elle rêve de placer sur le trône. Les deux courants prônent une vision réactionnaire de la société et un catholicisme très conservateur. L’Action française – qui est le plus ancien mouvement d’extrême droite en activité dans l’Hexagone et le groupe le plus important à la droite du Rassemblement national – souhaite par exemple un retour du roi pour une « régénération organique de la Nation » et voit donc certaines parties de la population française comme « un corps étranger ». L’AF est aussi l’une des principales écoles de formation de cadres radicaux."
Losc Army,LILLE,20-30,Nationaliste|Hooligan,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…).|Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Luminis,PARIS,20-30,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Lyon populaire,LYON,30-40,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Marche pour la vie,"LYON, PARIS",<100,Catholique,"Les catholiques-intégristes sont en guerre contre la séparation des cultes et de l’État et véhiculent un discours ultra-conservateur. Ils sont par exemple contre l’avortement et le mariage homosexuel mais aussi les étrangers. S’ils sont souvent liés aux monarchistes, les deux principaux groupes de la mouvance en France sont Civitas, dissous par le gouvernement en 2023, et la Fraternité Saint-Pie X, qui font des processions religieuses et des prières dans les rues. Dans certains de ces mouvements, la figure du Maréchal Pétain et du régime de Vichy est encore défendue."
Meduana noctua,LAVAL,10-20,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Megamachina,INTERNET,<10,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
MesOs,REIMS,15-20,Nationaliste|Hooligan,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…).|Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Mezza Lyon,LYON,≈40,Nationaliste|Hooligan,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…).|Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
